secs,x,y,rear_x,rear_y,reverse,heading,adj,esc,str,m/s
0,0,0,-0.334819,-3.2423e-06,0,-27.56,0,1680,1929,0.0420167
0.06,-0.036458,-0.155717,-0.310443,-0.0133831,0,-30.38,0,1655,1721,0.220587
0.22,-0.020105,-0.183587,-0.284331,-0.0290899,0,-31.5,0,1652,1644,0.481956
0.288,0.00262538,-0.204937,-0.255954,-0.0465997,0,-31.75,0,1650,1636,0.490194
0.36,0.0302316,-0.223697,-0.227039,-0.0647298,0,-32.62,0,1709,1545,0.519029
0.428,0.0564252,-0.246152,-0.199662,-0.0823425,0,-32.94,0,1706,1506,0.78031
0.47,0.0827848,-0.265345,-0.168274,-0.102647,0,-32.94,0,1715,1501,0.945375
0.51,0.114172,-0.285649,-0.132964,-0.125477,0,-32.94,0,1725,1487,1.07142
0.55,0.149483,-0.30848,-0.104084,-0.144155,0,-32.88,0,1726,1467,1.2605
0.578,0.178553,-0.326862,-0.0692682,-0.166584,0,-32.81,0,1732,1465,1.33928
0.61,0.213593,-0.348945,-0.0366126,-0.187584,0,-32.69,0,1753,1443,1.44057
0.638,0.24663,-0.369352,-0.00813027,-0.205841,0,-32.75,0,1756,1446,1.60427
0.66,0.274921,-0.387906,0.0242861,-0.226597,0,-32.5,0,1784,1433,1.44057
0.688,0.308129,-0.407425,0.0527079,-0.244638,0,-32.31,0,1785,1437,1.60427
0.71,0.337149,-0.424524,0.0811865,-0.262563,0,-32.06,0,1794,1437,1.96078
0.728,0.36641,-0.441206,0.113853,-0.282906,0,-31.75,0,1813,1435,1.83345
0.75,0.400039,-0.460003,0.146619,-0.303095,0,-31.56,0,1724,1449,2.0168
0.77,0.433391,-0.479242,0.179244,-0.323007,0,-31.25,0,1724,1412,2.24089
0.788,0.466965,-0.4976,0.220068,-0.34755,0,-30.88,0,1724,1419,2.29182
0.81,0.50891,-0.520282,0.252949,-0.367073,0,-30.5,0,1724,1414,2.24089
0.828,0.54293,-0.537885,0.294156,-0.391161,0,-30.19,0,1724,1435,2.29182
0.85,0.585057,-0.560401,0.335618,-0.415074,0,-29.75,0,1724,1424,2.521
0.87,0.627811,-0.582075,0.371092,-0.435111,0,-29.25,0,1724,1436,2.38094
0.888,0.664731,-0.599556,0.417479,-0.460825,0,-28.75,0,1724,1439,2.521
0.91,0.712542,-0.622702,0.457732,-0.482709,0,-28.19,0,1724,1447,2.66106
0.928,0.754362,-0.641694,0.504745,-0.507598,0,-27.62,0,1724,1470,2.521
0.95,0.802942,-0.663624,0.545927,-0.528962,0,-27.12,0,1724,1463,2.39495
0.97,0.845475,-0.68238,0.585059,-0.548798,0,-26.56,0,1725,1471,2.521
0.988,0.886091,-0.699281,0.633418,-0.572725,0,-26,0,1724,1485,2.521
1.01,0.935907,-0.720259,0.673408,-0.59208,0,-25.56,0,1724,1489,2.521
1.028,0.977021,-0.737286,0.724828,-0.616493,0,-25.19,0,1724,1494,2.63559
1.05,1.02937,-0.759736,0.772038,-0.638551,0,-24.75,0,1724,1496,2.64705
1.07,1.07767,-0.779451,0.812735,-0.657185,0,-24.5,0,1724,1506,2.521
1.088,1.11898,-0.79675,0.860551,-0.678887,0,-24.25,0,1724,1499,2.40641
1.11,1.1674,-0.817115,0.901492,-0.697248,0,-23.88,0,1724,1508,2.521
1.128,1.20923,-0.833491,0.951904,-0.719471,0,-23.75,0,1724,1522,2.521
1.15,1.25995,-0.855015,1.00259,-0.741734,0,-23.69,0,1724,1508,2.7731
1.17,1.31078,-0.876955,1.04402,-0.759871,0,-23.5,0,1724,1521,2.521
1.188,1.35266,-0.89407,1.07176,-0.771934,0,-23.44,0,1724,1527,2.521
1.2,1.38054,-0.90581,1.11788,-0.791917,0,-23.38,0,1724,1530,2.521
1.22,1.4268,-0.925469,1.15936,-0.80989,0,-23.38,0,1724,1528,2.521
1.238,1.46828,-0.943443,1.18705,-0.821871,0,-23.25,0,1724,1525,2.521
1.25,1.49627,-0.954722,1.23323,-0.841694,0,-23.19,0,1724,1541,2.521
1.27,1.54259,-0.974221,1.27921,-0.861453,0,-23.25,0,1724,1538,2.80111
1.288,1.58842,-0.994304,1.30682,-0.873335,0,-23.31,0,1724,1534,2.521
1.3,1.6159,-1.00651,1.35513,-0.894179,0,-23.19,0,1724,1536,2.64705
1.32,1.66449,-1.02671,1.39656,-0.911949,0,-23.25,0,1724,1551,2.521
1.338,1.70577,-1.0448,1.44466,-0.932723,0,-23.38,0,1724,1540,2.40641
1.36,1.75357,-1.06628,1.48828,-0.951637,0,-23.38,0,1724,1553,2.66106
1.378,1.7972,-1.08519,1.53858,-0.973439,0,-23.5,0,1724,1561,2.64105
1.399,1.84722,-1.10764,1.58638,-0.994315,0,-23.62,0,1724,1550,2.64705
1.419,1.89474,-1.12916,1.63199,-1.01437,0,-23.75,0,1724,1552,2.65368
1.438,1.94003,-1.14992,1.68217,-1.03651,0,-23.81,0,1724,1556,2.64105
1.459,1.99007,-1.17238,1.72307,-1.05467,0,-24.12,0,1724,1553,2.38832
1.478,2.03023,-1.1922,1.77314,-1.07718,0,-24.25,0,1724,1543,2.64105
1.499,2.07999,-1.21541,1.81866,-1.09772,0,-24.38,0,1724,1550,2.521
1.519,2.1252,-1.23665,1.86401,-1.11838,0,-24.69,0,1724,1544,2.65368
1.538,2.16979,-1.25896,1.89125,-1.13092,0,-24.88,0,1724,1545,2.75018
1.549,2.19656,-1.27252,1.94117,-1.15411,0,-24.94,0,1724,1534,2.7731
1.569,2.24633,-1.29602,1.98198,-1.17317,0,-25.06,0,1724,1540,2.38832
1.588,2.28685,-1.31572,2.03186,-1.19666,0,-25.38,0,1724,1543,2.64105
1.609,2.33592,-1.34091,2.07488,-1.21714,0,-25.5,0,1724,1535,2.521
1.628,2.37864,-1.36202,2.12697,-1.24201,0,-25.69,0,1724,1539,2.7611
1.649,2.43025,-1.3879,2.17433,-1.26485,0,-25.94,0,1724,1527,2.64705
1.669,2.47697,-1.41207,2.2195,-1.28687,0,-26.06,0,1724,1523,2.65368
1.688,2.52184,-1.43472,2.24666,-1.30015,0,-26.06,0,1724,1529,2.75018
1.699,2.54899,-1.448,2.2918,-1.32227,0,-26.31,0,1724,1533,2.521
1.719,2.59349,-1.47144,2.33455,-1.34348,0,-26.5,0,1724,1519,2.521
1.738,2.63574,-1.49365,2.36159,-1.35696,0,-26.44,0,1724,1518,2.75018
1.749,2.66294,-1.50681,2.40897,-1.38049,0,-26.5,0,1724,1529,2.64705
1.769,2.71016,-1.53065,2.45617,-1.4041,0,-26.69,0,1724,1519,2.78637
1.788,2.75686,-1.55526,2.48317,-1.41767,0,-26.88,0,1724,1517,2.75018
1.799,2.78335,-1.56983,2.53035,-1.44147,0,-26.69,0,1724,1513,2.64705
1.819,2.83104,-1.59264,2.57291,-1.46296,0,-26.94,0,1724,1523,2.521
1.838,2.87293,-1.61544,2.59986,-1.47666,0,-27,0,1724,1511,2.75018
1.849,2.89972,-1.62945,2.64685,-1.50059,0,-27,0,1724,1517,2.64705
1.869,2.94671,-1.65338,2.69173,-1.52342,0,-27,0,1724,1519,2.65368
1.888,2.99159,-1.67621,2.74332,-1.54975,0,-27.25,0,1724,1517,2.7611
1.909,3.04251,-1.70384,2.79028,-1.57392,0,-27.12,0,1724,1509,2.78637
1.928,3.08982,-1.72734,2.83946,-1.5991,0,-27.12,0,1724,1533,2.64105
1.949,3.13901,-1.75252,2.88418,-1.62208,0,-27.31,0,1724,1524,2.521
1.969,3.18321,-1.77649,2.93114,-1.64632,0,-27.25,0,1724,1520,2.78637
1.988,3.23033,-1.80042,2.9804,-1.6717,0,-27.25,0,1724,1528,2.64105
2.009,3.2796,-1.8258,3.02737,-1.6959,0,-27.38,0,1724,1526,2.78637
2.028,3.32621,-1.85067,3.07876,-1.72252,0,-27.31,0,1724,1518,2.89915
2.048,3.37779,-1.87693,3.12797,-1.7479,0,-27.25,0,1724,1530,2.64105
2.069,3.42717,-1.902,3.17038,-1.76978,0,-27.38,0,1724,1529,2.521
2.088,3.46922,-1.92456,3.22176,-1.7964,0,-27.25,0,1724,1523,2.89915
2.108,3.52096,-1.9505,3.26649,-1.81945,0,-27.25,0,1724,1540,2.521
2.128,3.56569,-1.97355,3.29318,-1.83322,0,-27.31,0,1724,1533,3.0252
2.138,3.59222,-1.98763,3.31994,-1.84704,0,-27.38,0,1724,1534,3.0252
2.148,3.61879,-2.00182,3.36899,-1.87246,0,-27.38,0,1724,1529,2.7731
2.168,3.66783,-2.02724,3.41358,-1.89557,0,-27.31,0,1724,1534,2.521
2.188,3.71262,-2.04999,3.46037,-1.91979,0,-27.5,0,1724,1540,2.64705
2.208,3.7589,-2.07519,3.50708,-1.9441,0,-27.38,0,1724,1528,2.64705
2.228,3.80592,-2.09887,3.55609,-1.9695,0,-27.38,0,1724,1540,2.7731
2.248,3.85493,-2.12428,3.58275,-1.98333,0,-27.5,0,1724,1538,3.0252
2.258,3.88128,-2.13873,3.63161,-2.00883,0,-27.62,0,1724,1533,2.7731
2.278,3.92981,-2.16485,3.67824,-2.03325,0,-27.56,0,1724,1540,2.64705
2.298,3.9766,-2.18896,3.7248,-2.05761,0,-27.75,0,1724,1548,2.64705
2.318,4.02264,-2.21431,3.77119,-2.08212,0,-27.88,0,1724,1535,2.64705
2.338,4.06868,-2.2395,3.81994,-2.108,0,-28,0,1724,1541,2.7731
2.358,4.1171,-2.266,3.86862,-2.13387,0,-28.12,0,1724,1541,2.7731
2.378,4.16545,-2.2925,3.91709,-2.15988,0,-28.38,0,1724,1529,2.7731
2.398,4.21319,-2.31985,3.96574,-2.18614,0,-28.31,0,1724,1528,2.7731
2.418,4.26204,-2.34574,4.01211,-2.21117,0,-28.56,0,1724,1538,2.64705
2.438,4.3077,-2.37206,4.05832,-2.23641,0,-28.75,0,1724,1524,2.64705
2.458,4.35338,-2.39829,4.10688,-2.26306,0,-28.81,0,1724,1529,2.7731
2.478,4.40177,-2.42524,4.15528,-2.28973,0,-29,0,1724,1528,2.7731
2.498,4.44964,-2.4529,4.20585,-2.31785,0,-29.19,0,1724,1521,2.89915
2.518,4.49966,-2.48198,4.25426,-2.34485,0,-29.06,0,1724,1521,2.7731
2.538,4.54844,-2.50832,4.29824,-2.36932,0,-29.25,0,1724,1530,2.521
2.558,4.59188,-2.53377,4.34654,-2.39638,0,-29.25,0,1724,1517,2.7731
2.578,4.64018,-2.56083,4.39486,-2.42344,0,-29.19,0,1724,1523,2.7731
2.598,4.68867,-2.58758,4.42125,-2.43818,0,-29.25,0,1724,1523,3.0252
2.608,4.71489,-2.60263,4.46956,-2.46528,0,-29.38,0,1724,1518,2.7731
2.628,4.76283,-2.63039,4.49588,-2.48009,0,-29.44,0,1724,1517,3.0252
2.638,4.78897,-2.64551,4.54188,-2.50597,0,-29.31,0,1724,1514,2.64705
2.658,4.83535,-2.67073,4.58791,-2.53185,0,-29.5,0,1724,1518,2.64705
2.678,4.88083,-2.69757,4.63604,-2.55911,0,-29.56,0,1724,1510,2.7731
2.698,4.92878,-2.72514,4.68403,-2.58627,0,-29.5,0,1724,1514,2.7731
2.718,4.97694,-2.75199,4.73213,-2.61351,0,-29.69,0,1724,1514,2.7731
2.738,5.0245,-2.7802,4.75831,-2.62843,0,-29.75,0,1724,1510,3.0252
2.748,5.0505,-2.79543,4.80611,-2.65568,0,-29.56,0,1724,1507,2.7731
2.768,5.09885,-2.82172,4.85187,-2.68162,0,-29.69,0,1724,1516,2.64705
2.788,5.14424,-2.84832,4.89761,-2.70772,0,-29.75,0,1724,1500,2.64705
2.808,5.1898,-2.87472,4.94522,-2.73486,0,-29.62,0,1724,1504,2.7731
2.828,5.23779,-2.90119,4.99518,-2.76322,0,-29.75,0,1724,1508,2.89915
2.848,5.28737,-2.93023,5.04507,-2.79174,0,-29.81,0,1724,1496,2.89915
2.868,5.33708,-2.95905,5.09256,-2.81884,0,-29.62,0,1724,1500,2.7731
2.888,5.38513,-2.98518,5.13596,-2.84349,0,-29.75,0,1724,1505,2.521
2.908,5.42815,-3.01049,5.18579,-2.87193,0,-29.69,0,1724,1494,2.89915
2.928,5.47816,-3.03863,5.23327,-2.89896,0,-29.62,0,1724,1502,2.7731
2.948,5.52584,-3.0653,5.28306,-2.92726,0,-29.69,0,1724,1501,2.89915
2.968,5.57543,-3.09396,5.33053,-2.95434,0,-29.81,0,1724,1495,2.7731
2.988,5.62254,-3.12165,5.37785,-2.98131,0,-29.56,0,1724,1493,2.7731
3.008,5.6706,-3.14734,5.42328,-3.00703,0,-29.69,0,1724,1498,2.64705
3.028,5.71565,-3.17373,5.4729,-3.03527,0,-29.62,0,1724,1486,2.89915
3.048,5.76547,-3.20161,5.52024,-3.06205,0,-29.44,0,1724,1494,2.7731
3.068,5.81334,-3.22747,5.57,-3.09012,0,-29.44,0,1724,1495,2.89915
3.088,5.86309,-3.25553,5.61963,-3.11807,0,-29.31,0,1724,1494,2.89915
3.108,5.9131,-3.28282,5.66725,-3.14468,0,-29.12,0,1724,1498,2.7731
3.128,5.96126,-3.30846,5.71288,-3.17006,0,-29.19,0,1724,1496,2.64705
3.148,6.00669,-3.33419,5.76058,-3.19658,0,-29,0,1724,1487,2.7731
3.168,6.05494,-3.35975,5.81054,-3.22414,0,-28.81,0,1724,1496,2.89915
3.188,6.10543,-3.38633,5.86066,-3.2517,0,-28.88,0,1724,1498,2.89915
3.208,6.15535,-3.41424,5.91067,-3.27919,0,-28.62,0,1724,1494,2.89915
3.228,6.2061,-3.44039,5.95649,-3.30411,0,-28.5,0,1724,1505,2.64705
3.248,6.25226,-3.4647,6.00252,-3.32912,0,-28.5,0,1724,1499,2.64705
3.268,6.29828,-3.48971,6.05271,-3.35632,0,-28.44,0,1724,1503,2.89915
3.288,6.34864,-3.5166,6.10312,-3.38354,0,-28.31,0,1724,1501,2.89915
3.308,6.39941,-3.54314,6.15359,-3.41072,0,-28.38,0,1724,1503,2.89915
3.328,6.44969,-3.57069,6.204,-3.43783,0,-28.12,0,1724,1499,2.89915
3.348,6.50082,-3.59645,6.24802,-3.46129,0,-28.06,0,1724,1507,2.521
3.368,6.54501,-3.61961,6.2745,-3.47539,0,-28.12,0,1724,1506,3.0252
3.378,6.57133,-3.63402,6.32297,-3.50119,0,-27.94,0,1724,1500,2.7731
3.398,6.62029,-3.65888,6.37373,-3.52801,0,-27.75,0,1724,1508,2.89915
3.418,6.67158,-3.68471,6.40031,-3.54197,0,-27.75,0,1724,1512,3.0252
3.428,6.69815,-3.69868,6.45133,-3.56879,0,-27.69,0,1724,1507,2.89915
3.448,6.74934,-3.72518,6.50012,-3.59427,0,-27.38,0,1724,1513,2.7731
3.468,6.79897,-3.74904,6.54703,-3.61856,0,-27.38,0,1724,1520,2.64705
3.488,6.84588,-3.77333,6.59842,-3.64512,0,-27.25,0,1724,1515,2.89915
3.508,6.89762,-3.79922,6.64764,-3.67043,0,-27.06,0,1724,1520,2.7731
3.528,6.94735,-3.82353,6.67457,-3.68418,0,-27.06,0,1724,1522,3.0252
3.538,6.97427,-3.83729,6.7015,-3.69794,0,-27.06,0,1724,1528,3.0252
3.548,7.0012,-3.85105,6.75081,-3.72314,0,-26.94,0,1724,1523,2.7731
3.568,7.05084,-3.87562,6.77776,-3.73684,0,-26.88,0,1724,1523,3.0252
3.578,7.07795,-3.889,6.82263,-3.75956,0,-26.88,0,1724,1531,2.521
3.598,7.12282,-3.91172,6.84951,-3.77319,0,-27,0,1724,1532,3.0252
3.608,7.14938,-3.92598,6.89882,-3.7983,0,-26.88,0,1724,1521,2.7731
3.628,7.19901,-3.95046,6.9258,-3.81197,0,-26.88,0,1724,1533,3.0252
3.638,7.22599,-3.96413,6.97724,-3.83807,0,-26.94,0,1724,1535,2.89915
3.658,7.27727,-3.99055,7.02867,-3.8642,0,-26.88,0,1724,1532,2.89915
3.678,7.32886,-4.01636,7.07785,-3.88915,0,-26.94,0,1724,1538,2.7731
3.698,7.37788,-4.04163,7.12473,-3.91301,0,-27.06,0,1724,1535,2.64705
3.718,7.42444,-4.06611,7.17606,-3.93925,0,-27.06,0,1724,1531,2.89915
3.738,7.47577,-4.09236,7.22518,-3.96437,0,-27.19,0,1724,1540,2.7731
3.758,7.52454,-4.11815,7.25189,-3.97811,0,-27.25,0,1724,1540,3.0252
3.768,7.55109,-4.13221,7.27859,-3.99188,0,-27.25,0,1724,1532,3.0252
3.778,7.57779,-4.14598,7.32764,-4.01719,0,-27.31,0,1724,1540,2.7731
3.798,7.62667,-4.1716,7.35432,-4.03099,0,-27.25,0,1724,1537,3.0252
3.808,7.65352,-4.18509,7.39879,-4.05395,0,-27.44,0,1724,1550,2.521
3.828,7.69747,-4.20904,7.44972,-4.08051,0,-27.56,0,1724,1536,2.89915
3.848,7.74808,-4.23622,7.50083,-4.10717,0,-27.56,0,1724,1544,2.89915
3.868,7.79919,-4.26289,7.55171,-4.1338,0,-27.75,0,1724,1543,2.89915
3.888,7.84955,-4.29051,7.57825,-4.14779,0,-27.81,0,1724,1543,3.0252
3.898,7.87593,-4.3048,7.62916,-4.17468,0,-27.81,0,1724,1541,2.89915
3.918,7.92684,-4.33169,7.67338,-4.19803,0,-27.88,0,1724,1547,2.521
3.938,7.97086,-4.3554,7.72631,-4.22611,0,-28,0,1724,1543,3.0252
3.958,8.02346,-4.38411,7.77487,-4.25197,0,-28.06,0,1724,1545,2.7731
3.978,8.07186,-4.41028,7.82551,-4.27901,0,-28.12,0,1724,1548,2.89915
3.998,8.12233,-4.43763,7.87603,-4.30613,0,-28.31,0,1724,1548,2.89915
4.018,8.17232,-4.46574,7.9244,-4.33223,0,-28.38,0,1724,1547,2.7731
4.038,8.2205,-4.49219,7.97264,-4.3584,0,-28.62,0,1724,1545,2.7731
4.058,8.26807,-4.5196,8.02088,-4.38479,0,-28.69,0,1724,1541,2.7731
4.078,8.31611,-4.54636,8.04721,-4.39922,0,-28.75,0,1724,1543,3.0252
4.088,8.34228,-4.5611,8.07351,-4.41367,0,-28.81,0,1724,1547,3.0252
4.098,8.3684,-4.57586,8.1238,-4.44145,0,-29,0,1724,1544,2.89915
4.118,8.41815,-4.60461,8.17412,-4.46937,0,-29.06,0,1724,1541,2.89915
4.138,8.4683,-4.63285,8.21998,-4.49492,0,-29.31,0,1724,1545,2.64705
4.158,8.51345,-4.65967,8.27003,-4.52317,0,-29.56,0,1724,1534,2.89915
4.178,8.56277,-4.6892,8.31807,-4.5504,0,-29.69,0,1724,1539,2.7731
4.198,8.61043,-4.71709,8.34416,-4.56529,0,-29.88,0,1724,1547,3.0252
4.208,8.63598,-4.73296,8.39407,-4.59407,0,-30,0,1724,1528,2.89915
4.228,8.68553,-4.76234,8.4441,-4.62304,0,-30.19,0,1724,1537,2.89915
4.248,8.73501,-4.79228,8.4918,-4.65087,0,-30.38,0,1724,1531,2.7731
4.268,8.78214,-4.82108,8.53946,-4.67893,0,-30.62,0,1724,1528,2.7731
4.288,8.82908,-4.85035,8.58709,-4.70717,0,-30.69,0,1724,1526,2.7731
4.308,8.87651,-4.87894,8.61306,-4.72259,0,-30.81,0,1724,1524,3.0252
4.318,8.90211,-4.89496,8.63901,-4.73807,0,-31,0,1724,1528,3.0252
4.328,8.92749,-4.9114,8.68864,-4.76789,0,-31.06,0,1724,1515,2.89915
4.348,8.97694,-4.94152,8.7382,-4.79773,0,-31.06,0,1724,1520,2.89915
4.368,9.0265,-4.97137,8.78565,-4.82638,0,-31.19,0,1724,1523,2.7731
4.388,9.07355,-5.00068,8.8329,-4.85518,0,-31.38,0,1724,1521,2.7731
4.408,9.12023,-5.03042,8.85873,-4.87093,0,-31.44,0,1724,1504,3.0252
4.418,9.14587,-5.04648,8.90792,-4.90099,0,-31.44,0,1724,1515,2.89915
4.438,9.19506,-5.07653,8.93364,-4.91671,0,-31.44,0,1724,1518,3.0252
4.448,9.22078,-5.09225,8.983,-4.94691,0,-31.44,0,1724,1517,2.89915
4.468,9.27014,-5.12246,9.00875,-4.96265,0,-31.31,0,1724,1516,3.0252
4.478,9.29629,-5.13754,9.05606,-4.99142,0,-31.38,0,1724,1528,2.7731
4.498,9.34338,-5.16667,9.10335,-5.02027,0,-31.25,0,1724,1517,2.7731
4.518,9.39107,-5.19486,9.12915,-5.03593,0,-31.19,0,1724,1520,3.0252
4.528,9.41706,-5.21022,9.15502,-5.05158,0,-31.19,0,1724,1528,3.0252
4.538,9.44292,-5.22587,9.18083,-5.06721,0,-31.12,0,1724,1525,3.0252
4.548,9.46895,-5.24115,9.23042,-5.09716,0,-31.12,0,1724,1527,2.89915
4.568,9.51854,-5.2711,9.25626,-5.11276,0,-31,0,1724,1523,3.0252
4.578,9.54474,-5.2861,9.30593,-5.14261,0,-31,0,1724,1532,2.89915
4.598,9.59441,-5.31594,9.35334,-5.1711,0,-31.12,0,1724,1525,2.7731
4.618,9.64145,-5.34504,9.3792,-5.18672,0,-31.06,0,1724,1525,3.0252
4.628,9.6675,-5.36036,9.42663,-5.21529,0,-31.12,0,1724,1528,2.7731
4.648,9.71475,-5.38923,9.45246,-5.23089,0,-31.12,0,1724,1525,3.0252
4.658,9.74058,-5.40483,9.47832,-5.2465,0,-31.19,0,1724,1521,3.0252
4.668,9.76623,-5.42079,9.5042,-5.26217,0,-31.25,0,1724,1524,3.0252
4.678,9.79192,-5.43676,9.5537,-5.29224,0,-31.44,0,1724,1519,2.89915
4.698,9.84084,-5.46779,9.59884,-5.31977,0,-31.38,0,1724,1514,2.64705
4.718,9.88616,-5.49501,9.62456,-5.33545,0,-31.56,0,1724,1528,3.0252
4.728,9.91133,-5.51159,9.67385,-5.36572,0,-31.62,0,1724,1510,2.89915
4.748,9.96043,-5.54217,9.72303,-5.39599,0,-31.62,0,1724,1515,2.89915
4.768,10.0096,-5.57244,9.7487,-5.41179,0,-31.62,0,1724,1517,3.0252
4.778,10.0353,-5.58824,9.7744,-5.42761,0,-31.62,0,1724,1517,3.0252
4.788,10.061,-5.60406,9.80011,-5.44343,0,-31.69,0,1724,1517,3.0252
4.798,10.0865,-5.62023,9.82579,-5.45928,0,-31.69,0,1724,1517,3.0252
4.808,10.1122,-5.63608,9.87284,-5.48828,0,-31.62,0,1724,1515,2.7731
4.828,10.1594,-5.66473,9.91995,-5.51732,0,-31.88,0,1724,1516,2.7731
4.848,10.2057,-5.69507,9.94556,-5.53325,0,-31.75,0,1724,1512,3.0252
4.858,10.2318,-5.71035,9.97116,-5.54908,0,-31.75,0,1724,1504,3.0252
4.868,10.2573,-5.72617,10.0202,-5.57942,0,-31.69,0,1724,1514,2.89915
4.888,10.3065,-5.75622,10.0458,-5.59524,0,-31.69,0,1724,1510,3.0252
4.898,10.3322,-5.77204,10.0714,-5.61102,0,-31.69,0,1724,1520,3.0252
4.908,10.3578,-5.78782,10.0971,-5.6269,0,-31.56,0,1724,1514,3.0252
4.918,10.3839,-5.80305,10.1442,-5.65581,0,-31.5,0,1724,1521,2.7731
4.938,10.4311,-5.83165,10.1935,-5.68604,0,-31.5,0,1724,1518,2.89915
4.958,10.4805,-5.86189,10.2193,-5.70182,0,-31.5,0,1724,1516,3.0252
4.968,10.5062,-5.87766,10.245,-5.71757,0,-31.44,0,1724,1516,3.0252
4.978,10.5321,-5.89312,10.2922,-5.74641,0,-31.38,0,1724,1519,2.7731
4.998,10.5795,-5.92166,10.3201,-5.76346,0,-31.38,0,1724,1517,3.2773
5.008,10.6075,-5.9387,10.3459,-5.77917,0,-31.44,0,1724,1520,3.0252
5.018,10.633,-5.95472,10.3717,-5.79494,0,-31.25,0,1724,1517,2.75018
5.029,10.6594,-5.96953,10.419,-5.82356,0,-31.12,0,1724,1528,2.91905
5.048,10.7071,-5.9975,10.4685,-5.85346,0,-31.12,0,1724,1520,2.89915
5.068,10.7566,-6.0274,10.4944,-5.86908,0,-31.06,0,1724,1520,2.75018
5.079,10.7827,-6.04272,10.5441,-5.89895,0,-31.06,0,1724,1524,3.05174
5.098,10.8324,-6.07259,10.5721,-5.91585,0,-30.94,0,1724,1525,3.2773
5.108,10.8608,-6.08888,10.6218,-5.94561,0,-31,0,1724,1529,2.7611
5.129,10.9102,-6.11895,10.6714,-5.97542,0,-30.94,0,1724,1517,3.05174
5.148,10.96,-6.14846,10.7188,-6.00394,0,-31.12,0,1724,1523,2.7731
5.168,11.0069,-6.17788,10.7447,-6.01956,0,-31.12,0,1724,1513,2.75018
5.179,11.0328,-6.1935,10.7705,-6.03512,0,-31.19,0,1724,1515,3.36133
5.188,11.0584,-6.20941,10.82,-6.06506,0,-31.19,0,1724,1513,2.89915
5.208,11.1079,-6.23935,10.8457,-6.08065,0,-31.25,0,1724,1517,3.0252
5.218,11.1334,-6.25524,10.8715,-6.0963,0,-31.19,0,1724,1516,2.75018
5.229,11.1594,-6.27059,10.9209,-6.12623,0,-31.31,0,1724,1519,3.05174
5.248,11.2085,-6.30113,10.9467,-6.14193,0,-31.25,0,1724,1513,3.0252
5.258,11.2345,-6.31653,10.9939,-6.17058,0,-31.25,0,1724,1518,2.64105
5.279,11.2816,-6.34517,11.0433,-6.20057,0,-31.25,0,1724,1517,3.05174
5.298,11.331,-6.37516,11.0691,-6.21622,0,-31.19,0,1724,1510,3.0252
5.308,11.357,-6.39051,11.0948,-6.23178,0,-31.19,0,1724,1516,3.0252
5.318,11.3827,-6.40607,11.1206,-6.2474,0,-31.19,0,1724,1516,2.75018
5.329,11.4085,-6.42169,11.1701,-6.27731,0,-31.19,0,1724,1513,3.05174
5.348,11.458,-6.4516,11.1958,-6.2929,0,-31.12,0,1724,1513,2.75018
5.359,11.4839,-6.46684,11.2216,-6.30845,0,-31.12,0,1724,1513,3.0252
5.369,11.5097,-6.48239,11.2668,-6.3357,0,-31.12,0,1724,1513,2.78637
5.388,11.5549,-6.50964,11.2925,-6.35126,0,-31.19,0,1724,1513,3.0252
5.398,11.5804,-6.52555,11.3204,-6.36814,0,-31.19,0,1724,1513,2.97936
5.409,11.6083,-6.54243,11.3462,-6.38373,0,-31.06,0,1724,1509,3.0252
5.419,11.6345,-6.55737,11.3719,-6.39922,0,-31.06,0,1724,1511,3.0252
5.429,11.6602,-6.57285,11.4193,-6.42769,0,-31,0,1724,1513,2.91905
5.448,11.7078,-6.60103,11.4473,-6.44448,0,-31,0,1724,1516,2.97936
5.459,11.7357,-6.61782,11.4731,-6.46002,0,-31,0,1724,1512,3.0252
5.469,11.7616,-6.63335,11.5183,-6.48706,0,-30.88,0,1724,1512,2.78637
5.488,11.8072,-6.65979,11.5441,-6.50249,0,-30.88,0,1724,1523,3.0252
5.498,11.833,-6.67523,11.5701,-6.51801,0,-30.94,0,1724,1510,2.75018
5.509,11.8587,-6.69105,11.5959,-6.53346,0,-30.94,0,1724,1513,3.0252
5.519,11.8845,-6.70649,11.6217,-6.54893,0,-30.81,0,1724,1509,3.0252
5.529,11.9108,-6.72131,11.6712,-6.57846,0,-30.88,0,1724,1518,3.05174
5.548,11.96,-6.75119,11.6993,-6.59525,0,-30.88,0,1724,1508,2.97936
5.559,11.9881,-6.76798,11.725,-6.61065,0,-30.94,0,1724,1512,3.0252
5.569,12.0137,-6.78368,11.7509,-6.62611,0,-30.81,0,1724,1511,3.0252
5.579,12.0399,-6.79849,11.796,-6.653,0,-30.88,0,1724,1517,2.78637
5.598,12.0849,-6.82574,11.8219,-6.66849,0,-30.88,0,1724,1515,2.75018
5.609,12.1108,-6.84122,11.8478,-6.68396,0,-30.94,0,1724,1505,3.0252
5.619,12.1365,-6.85699,11.8971,-6.71352,0,-30.88,0,1724,1503,3.05174
5.638,12.186,-6.88625,11.9485,-6.74416,0,-30.81,0,1724,1511,2.88114
5.659,12.2376,-6.91654,11.9743,-6.75956,0,-30.88,0,1724,1510,3.0252
5.669,12.2632,-6.93229,12.0001,-6.77497,0,-30.94,0,1724,1506,3.0252
