secs,x,y,rear_x,rear_y,reverse,heading,adj,esc,str,m/s
0,0,0,-0.33408,4.84E-07,0,-303.56,0,1679,1485,0.0015639
1.612,-0.148032,0.28045,-0.316322,0.0268372,0,-303.31,0,1683,1487,0.32773
1.712,-0.131499,0.308096,-0.2973,0.0558201,0,-303.19,0,1673,1489,0.588233
1.772,-0.113067,0.337465,-0.277012,0.0869562,0,-302.94,0,1628,1489,0.7563
1.822,-0.0940099,0.369403,-0.25953,0.114011,0,-302.75,0,1556,1489,0.819325
1.862,-0.077465,0.397063,-0.240804,0.143243,0,-302.44,0,1577,1503,0.70588
1.912,-0.0602727,0.427275,-0.224748,0.168625,0,-302.06,0,1576,1547,0.60504
1.962,-0.046105,0.453849,-0.207577,0.196098,0,-301.88,0,1587,1545,0.65546
2.012,-0.0298308,0.481882,-0.189158,0.225722,0,-301.94,0,1603,1555,0.588233
2.072,-0.011113,0.511319,-0.172056,0.253119,0,-301.94,0,1614,1555,0.546217
2.132,0.00598898,0.538716,-0.153759,0.282451,0,-302,0,1641,1579,0.519029
2.2,0.024585,0.567861,-0.136826,0.309564,0,-302,0,1637,1575,0.528597
2.262,0.0415182,0.594974,-0.11863,0.338588,0,-302.25,0,1639,1597,0.5042
2.332,0.0609581,0.623218,-0.100424,0.367371,0,-302.5,0,1642,1621,0.519029
2.4,0.0804038,0.651214,-0.0836144,0.393675,0,-302.81,0,1641,1615,0.455181
2.472,0.0987468,0.676536,-0.0651894,0.42198,0,-303.5,0,1642,1616,0.452487
2.55,0.120565,0.702624,-0.0464906,0.450104,0,-303.81,0,1642,1612,0.490194
2.622,0.14078,0.729739,-0.0275796,0.478111,0,-304.31,0,1655,1611,0.519029
2.69,0.162124,0.756102,-0.00978104,0.504044,0,-304.75,0,1656,1605,0.546217
2.75,0.182051,0.780569,0.0110388,0.53389,0,-305.12,0,1655,1601,0.609919
2.812,0.204653,0.809171,0.0320969,0.563599,0,-305.62,0,1670,1602,0.63025
2.872,0.228106,0.837179,0.0505305,0.589221,0,-305.94,0,1683,1597,0.65546
2.922,0.248064,0.861703,0.0691491,0.614802,0,-306.25,0,1681,1593,0.819325
2.962,0.268154,0.886211,0.093903,0.64816,0,-307.19,0,1678,1583,0.874633
3.011,0.297334,0.916267,0.119299,0.681257,0,-308,0,1675,1577,0.840333
3.062,0.3265,0.946462,0.140574,0.708371,0,-308.56,0,1659,1568,0.928789
3.1,0.350357,0.971539,0.160638,0.733462,0,-308.88,0,1659,1563,1.02416
3.132,0.371888,0.995453,0.185557,0.764207,0,-309.31,0,1663,1565,1.0084
3.172,0.398767,1.02461,0.210733,0.794705,0,-310.06,0,1665,1565,1.03426
3.211,0.427333,1.05229,0.236228,0.824939,0,-310.38,0,1666,1565,1.03426
3.25,0.454263,1.08131,0.258699,0.851272,0,-310.62,0,1668,1563,1.10294
3.282,0.477806,1.10673,0.286236,0.883103,0,-311.19,0,1673,1559,1.07142
3.322,0.507874,1.13637,0.305902,0.905481,0,-311.81,0,1673,1553,1.08043
3.35,0.530267,1.15633,0.327504,0.929564,0,-312.06,0,1674,1539,1.02416
3.382,0.552962,1.17943,0.347751,0.951845,0,-312.5,0,1673,1511,1.04317
3.411,0.57512,1.19998,0.371461,0.97765,0,-312.81,0,1673,1499,1.21703
3.44,0.60017,1.22455,0.395195,1.00317,0,-313.12,0,1674,1495,1.10294
3.472,0.625237,1.24882,0.418995,1.02854,0,-313.19,0,1669,1493,1.2605
3.5,0.649337,1.27392,0.446221,1.05752,0,-313.19,0,1670,1495,1.2605
3.532,0.676562,1.3029,0.470049,1.0829,0,-313.25,0,1670,1495,1.17647
3.562,0.700648,1.32804,0.493897,1.10827,0,-313.19,0,1669,1493,1.2605
3.59,0.724238,1.35364,0.521101,1.13724,0,-313.19,0,1670,1493,1.2605
3.622,0.751443,1.38262,0.551714,1.16977,0,-313.31,0,1669,1490,1.16354
3.661,0.782569,1.41467,0.575565,1.19507,0,-313.25,0,1670,1495,1.21703
3.69,0.806163,1.44021,0.602825,1.22405,0,-313.25,0,1669,1495,1.2605
3.722,0.833423,1.46918,0.626675,1.2494,0,-313.25,0,1669,1495,1.2605
3.75,0.857273,1.49453,0.653895,1.27842,0,-313.12,0,1671,1495,1.2605
3.782,0.883937,1.52407,0.681063,1.30749,0,-313,0,1672,1493,1.3909
3.811,0.910589,1.55363,0.706428,1.33471,0,-313,0,1671,1481,1.30397
3.84,0.935955,1.58084,0.733188,1.36346,0,-312.88,0,1671,1461,1.2605
3.872,0.962198,1.61007,0.756401,1.38845,0,-312.75,0,1672,1461,1.2605
3.9,0.984851,1.63558,0.782862,1.41708,0,-312.69,0,1671,1461,1.30116
3.931,1.01105,1.66446,0.807555,1.44402,0,-312.25,0,1671,1461,1.2605
3.961,1.03384,1.69315,0.833724,1.47292,0,-312,0,1671,1459,1.3909
3.99,1.05892,1.72303,0.862931,1.50559,0,-311.56,0,1671,1457,1.46381
4.021,1.0862,1.75742,0.888718,1.53477,0,-311.25,0,1671,1461,1.3909
4.05,1.11062,1.7878,0.915997,1.56598,0,-311,0,1671,1463,1.38248
4.081,1.13679,1.81997,0.940058,1.59366,0,-310.94,0,1671,1469,1.30397
4.11,1.16059,1.84789,0.965722,1.62332,0,-310.69,0,1674,1471,1.34453
4.14,1.18514,1.8785,0.991332,1.65304,0,-310.62,0,1674,1471,1.30116
4.171,1.21044,1.9085,1.01686,1.68291,0,-310.44,0,1674,1481,1.3909
4.2,1.23516,1.93905,1.04568,1.71673,0,-310.31,0,1673,1485,1.46381
4.231,1.2634,1.97337,1.07126,1.747,0,-310,0,1674,1489,1.3909
4.26,1.28759,2.00482,1.09831,1.77932,0,-309.69,0,1673,1491,1.42857
4.29,1.31325,2.0383,1.12528,1.81176,0,-309.69,0,1673,1491,1.38248
4.321,1.34022,2.07073,1.15059,1.8423,0,-309.5,0,1673,1488,1.3909
4.35,1.36466,2.10199,1.17578,1.87291,0,-309.31,0,1673,1489,1.30116
4.381,1.38899,2.13331,1.20402,1.90746,0,-309.06,0,1673,1487,1.5126
4.411,1.41609,2.16879,1.22891,1.93821,0,-308.88,0,1673,1481,1.3909
4.44,1.44016,2.2002,1.25674,1.97281,0,-308.69,0,1673,1481,1.46381
4.471,1.46712,2.2355,1.28293,2.00558,0,-308.5,0,1674,1483,1.47783
4.5,1.49244,2.26897,1.31058,2.04045,0,-308.25,0,1674,1487,1.46381
4.531,1.51894,2.30474,1.33666,2.07354,0,-308.25,0,1673,1490,1.47783
4.56,1.54501,2.33783,1.36122,2.1047,0,-308.06,0,1673,1491,1.34453
4.59,1.5687,2.36969,1.38723,2.13796,0,-307.88,0,1675,1493,1.42857
4.62,1.59388,2.4036,1.41316,2.17138,0,-307.5,0,1676,1499,1.42857
4.65,1.61804,2.43838,1.44044,2.20703,0,-307.25,0,1673,1502,1.5126
4.68,1.64415,2.47493,1.46617,2.24083,0,-307.25,0,1673,1505,1.42857
4.71,1.66988,2.50872,1.48583,2.26674,0,-307.06,0,1673,1507,1.63865
4.73,1.68866,2.5353,1.51145,2.30072,0,-306.94,0,1674,1505,1.42857
4.76,1.71371,2.56971,1.53695,2.33473,0,-306.75,0,1673,1505,1.42857
4.79,1.73832,2.6044,1.56087,2.3668,0,-306.56,0,1673,1507,1.34453
4.82,1.76134,2.63713,1.5862,2.40099,0,-306.38,0,1674,1509,1.42857
4.85,1.78582,2.67195,1.60405,2.42523,0,-306.31,0,1671,1517,1.5126
4.87,1.80334,2.69643,1.62934,2.45977,0,-306.31,0,1667,1519,1.42857
4.9,1.82863,2.73097,1.64722,2.48414,0,-306.19,0,1668,1519,1.5126
4.92,1.84595,2.75576,1.66505,2.50854,0,-306.06,0,1667,1519,1.5126
4.94,1.86316,2.78061,1.68278,2.53302,0,-305.62,0,1668,1519,1.5126
4.96,1.87879,2.8066,1.70767,2.56784,0,-305.44,0,1668,1517,1.42857
4.99,1.90282,2.84203,1.73246,2.60269,0,-305.31,0,1669,1517,1.42857
5.02,1.92698,2.87733,1.75425,2.63351,0,-305.44,0,1670,1515,1.2605
5.05,1.9494,2.90771,1.77898,2.66836,0,-305.19,0,1669,1515,1.42857
5.08,1.97293,2.94341,1.80358,2.70333,0,-305,0,1669,1517,1.42857
5.11,1.99662,2.97902,1.82808,2.73841,0,-304.88,0,1672,1519,1.42857
5.14,2.02054,3.01449,1.84531,2.76324,0,-304.62,0,1671,1519,1.5126
5.16,2.03652,3.0402,1.86959,2.79851,0,-304.38,0,1671,1519,1.42857
5.19,2.05963,3.07627,1.89372,2.83388,0,-304.25,0,1672,1524,1.42857
5.22,2.08314,3.11207,1.9163,2.86712,0,-304.25,0,1672,1541,1.34453
5.25,2.10572,3.14531,1.93877,2.90018,0,-304.12,0,1672,1543,1.34453
5.28,2.12755,3.1788,1.96251,2.93536,0,-303.81,0,1671,1547,1.42857
5.31,2.14978,3.21499,1.98604,2.97059,0,-303.62,0,1672,1549,1.42857
5.34,2.17238,3.25084,2.01083,3.00792,0,-303.56,0,1671,1549,1.5126
5.37,2.19688,3.28837,2.03425,3.04318,0,-303.88,0,1672,1551,1.42857
5.4,2.22186,3.32259,2.05777,3.07832,0,-303.75,0,1672,1551,1.42857
5.43,2.24475,3.35816,2.08128,3.11348,0,-303.94,0,1671,1551,1.42857
5.46,2.26918,3.39269,2.10347,3.14649,0,-303.94,0,1671,1555,1.34453
5.49,2.29137,3.4257,2.12689,3.18161,0,-303.62,0,1671,1555,1.42857
5.52,2.31323,3.46187,2.14886,3.21471,0,-303.62,0,1671,1555,1.34453
5.55,2.3352,3.49496,2.17359,3.25193,0,-303.62,0,1671,1555,1.5126
5.58,2.35994,3.53219,2.19702,3.28707,0,-303.81,0,1671,1552,1.42857
5.61,2.38429,3.5667,2.22051,3.32217,0,-303.88,0,1671,1555,1.42857
5.64,2.40812,3.60157,2.24399,3.35718,0,-303.88,0,1671,1563,1.42857
5.67,2.4316,3.63659,2.26736,3.392,0,-304,0,1671,1574,1.42857
5.7,2.45555,3.67101,2.28936,3.42458,0,-304.19,0,1671,1578,1.34453
5.73,2.47849,3.70296,2.31139,3.45707,0,-304.25,0,1671,1580,1.34453
5.76,2.5008,3.73526,2.33347,3.48953,0,-304.38,0,1671,1579,1.34453
5.79,2.52352,3.76729,2.35704,3.52396,0,-304.62,0,1672,1577,1.42857
5.82,2.54824,3.80092,2.38078,3.55831,0,-304.88,0,1671,1577,1.42857
5.85,2.57324,3.8344,2.4047,3.59256,0,-305.06,0,1671,1577,1.42857
5.88,2.59803,3.86804,2.42874,3.62672,0,-305.31,0,1670,1575,1.42857
5.91,2.62327,3.90135,2.45153,3.6588,0,-305.62,0,1671,1574,1.34453
5.94,2.64754,3.93238,2.47447,3.69075,0,-305.81,0,1671,1576,1.34453
5.97,2.67138,3.96368,2.49755,3.72262,0,-306.06,0,1671,1573,1.34453
6,2.69566,3.99469,2.52079,3.75446,0,-306.31,0,1672,1567,1.34453
6.03,2.72008,4.02566,2.54718,3.79023,0,-306.62,0,1672,1565,1.5126
6.06,2.74793,4.06035,2.57086,3.82193,0,-306.94,0,1671,1563,1.34453
6.09,2.77312,4.09092,2.59616,3.85553,0,-307.19,0,1672,1563,1.42857
6.12,2.79959,4.12363,2.62159,3.88903,0,-307.38,0,1671,1561,1.42857
6.15,2.8259,4.15646,2.64569,3.92048,0,-307.69,0,1671,1559,1.34453
6.18,2.85146,4.1868,2.66999,3.95184,0,-307.94,0,1671,1554,1.34453
6.21,2.87691,4.21726,2.69447,3.98314,0,-308.12,0,1672,1555,1.34453
6.24,2.90223,4.24791,2.72059,4.01634,0,-308.31,0,1671,1553,1.42857
6.27,2.92922,4.28042,2.74688,4.04943,0,-308.62,0,1673,1553,1.42857
6.3,2.95693,4.31238,2.7733,4.08245,0,-308.81,0,1671,1547,1.42857
6.33,2.98423,4.3447,2.79988,4.11544,0,-308.94,0,1672,1543,1.42857
6.36,3.0114,4.37721,2.82661,4.14845,0,-309.12,0,1672,1539,1.42857
6.39,3.03896,4.40955,2.85035,4.17752,0,-309.44,0,1670,1537,1.2605
6.42,3.06415,4.43744,2.87744,4.21039,0,-309.56,0,1667,1533,1.42857
6.45,3.09178,4.46986,2.90463,4.24328,0,-309.62,0,1667,1528,1.42857
6.48,3.11924,4.50252,2.93032,4.2742,0,-309.94,0,1666,1528,1.34453
6.51,3.14638,4.53224,2.9497,4.29732,0,-310.06,0,1667,1527,1.5126
6.53,3.1663,4.55491,2.97728,4.33003,0,-310.31,0,1668,1525,1.42857
6.56,3.19501,4.58667,3.00502,4.36262,0,-310.44,0,1669,1523,1.42857
6.59,3.22333,4.61876,3.03123,4.39324,0,-310.75,0,1671,1523,1.34453
6.62,3.25091,4.6482,3.05756,4.42376,0,-310.94,0,1671,1521,1.34453
6.65,3.27809,4.67799,3.08403,4.4542,0,-311.12,0,1674,1518,1.34453
6.68,3.30535,4.70773,3.1039,4.47697,0,-311.12,0,1675,1519,1.5126
6.7,3.32523,4.7305,3.13043,4.50732,0,-311.25,0,1673,1520,1.34453
6.73,3.35233,4.76035,3.15036,4.53005,0,-311.25,0,1674,1523,1.5126
6.75,3.37226,4.78308,3.17699,4.56026,0,-311.5,0,1674,1525,1.34453
6.78,3.4,4.81233,3.197,4.58288,0,-311.5,0,1671,1525,1.5126
6.8,3.42001,4.83494,3.21702,4.6055,0,-311.56,0,1671,1525,1.5126
6.82,3.44028,4.85733,3.24378,4.6356,0,-311.69,0,1669,1523,1.34453
6.85,3.46762,4.88692,3.27064,4.66567,0,-311.94,0,1667,1519,1.34453
6.88,3.49557,4.91601,3.29754,4.69561,0,-311.94,0,1668,1515,1.34453
6.91,3.52247,4.94595,3.31771,4.71802,0,-312.06,0,1665,1511,1.5126
6.93,3.54317,4.96788,3.34628,4.74963,0,-312.19,0,1664,1503,1.42857
6.96,3.57231,4.99899,3.37473,4.78097,0,-312.31,0,1661,1492,1.42857
6.99,3.60128,5.02985,3.4015,4.8103,0,-312.44,0,1651,1491,1.34453
7.02,3.62861,5.05867,3.43162,4.84328,0,-312.38,0,1651,1493,1.5126
7.05,3.65847,5.09189,3.45843,4.87263,0,-312.44,0,1651,1493,1.34453
7.08,3.68554,5.121,3.48355,4.90014,0,-312.44,0,1653,1494,1.2605
7.11,3.71066,5.14851,3.5087,4.92764,0,-312.38,0,1657,1493,1.2605
7.14,3.73555,5.17625,3.53552,4.95699,0,-312.38,0,1659,1494,1.34453
7.17,3.76237,5.2056,3.56229,4.98637,0,-312.31,0,1662,1493,1.34453
7.2,3.78884,5.23526,3.58904,5.01578,0,-312.25,0,1666,1493,1.34453
7.23,3.81533,5.2649,3.61577,5.04519,0,-312.25,0,1666,1495,1.34453
7.26,3.84205,5.29431,3.64249,5.07468,0,-312.12,0,1666,1493,1.34453
7.29,3.86821,5.32431,3.66748,5.10233,0,-312.06,0,1671,1493,1.2605
7.32,3.89293,5.3522,3.69246,5.13003,0,-311.94,0,1672,1500,1.2605
7.35,3.91739,5.38037,3.7158,5.15599,0,-311.88,0,1672,1505,1.17647
7.38,3.94047,5.40656,3.74251,5.1858,0,-311.81,0,1671,1507,1.34453
7.41,3.96687,5.43665,3.76919,5.21567,0,-311.62,0,1673,1507,1.30116
7.441,3.99272,5.46727,3.7958,5.2456,0,-311.62,0,1699,1507,1.3909
7.47,4.01933,5.49719,3.82239,5.27554,0,-311.62,0,1711,1507,1.34453
7.5,4.04592,5.52714,3.84234,5.298,0,-311.44,0,1711,1505,1.5126
7.52,4.06508,5.55029,3.87048,5.32985,0,-311.44,0,1711,1505,1.42857
7.55,4.09322,5.58214,3.89033,5.35235,0,-311.31,0,1711,1505,1.5126
7.57,4.1125,5.60515,3.9184,5.38423,0,-311.44,0,1710,1499,1.42857
7.6,4.14114,5.63653,3.93985,5.40852,0,-311.31,0,1707,1497,1.63865
7.62,4.16202,5.66132,3.9612,5.43282,0,-311.25,0,1705,1494,1.56062
7.641,4.18311,5.68585,3.98416,5.45898,0,-311.25,0,1703,1495,1.85758
7.66,4.20606,5.71202,4.00712,5.48516,0,-311.25,0,1668,1493,1.7647
7.68,4.22902,5.7382,4.02841,5.50944,0,-311.31,0,1667,1493,1.63865
7.7,4.25058,5.76224,4.05302,5.53743,0,-311.25,0,1667,1493,1.80071
7.721,4.27493,5.79046,4.07591,5.56355,0,-311.12,0,1593,1487,1.7647
7.741,4.29724,5.81709,4.09874,5.58965,0,-311.12,0,1597,1487,1.85758
7.76,4.32006,5.84318,4.1297,5.62507,0,-311.06,0,1599,1486,1.54513
7.791,4.35076,5.87884,4.15084,5.64934,0,-311,0,1597,1487,1.72489
7.81,4.37164,5.90333,4.17358,5.67549,0,-311,0,1593,1486,1.68067
7.831,4.39438,5.92949,4.19469,5.69979,0,-310.88,0,1581,1487,1.72489
7.85,4.41495,5.95424,4.21736,5.72603,0,-310.75,0,1563,1487,1.68067
7.871,4.43705,5.98099,4.23836,5.75044,0,-310.69,0,1553,1489,1.63865
7.891,4.45778,6.00563,4.2594,5.77487,0,-310.69,0,1554,1491,1.72489
7.91,4.47882,6.03006,4.28204,5.80123,0,-310.56,0,1555,1493,1.68067
7.931,4.50088,6.05692,4.30305,5.82577,0,-310.5,0,1560,1493,1.72489
7.95,4.52162,6.08168,4.3321,5.8598,0,-310.44,0,1625,1495,1.46381
7.981,4.55041,6.11595,4.36111,5.8939,0,-310.31,0,1657,1495,1.56476
8.01,4.57883,6.15054,4.39002,5.92804,0,-310.12,0,1659,1491,1.46381
8.041,4.60689,6.1854,4.42036,5.96406,0,-310.06,0,1660,1487,1.59663
8.071,4.63696,6.22165,4.44106,5.98869,0,-309.94,0,1659,1483,1.63865
8.091,4.65712,6.24673,4.46957,6.02271,0,-309.88,0,1659,1469,1.5126
8.121,4.68536,6.28097,4.49779,6.05654,0,-309.75,0,1658,1465,1.56476
8.15,4.71299,6.31529,4.5243,6.08844,0,-309.69,0,1654,1459,1.38248
8.181,4.73924,6.34742,4.55066,6.12027,0,-309.5,0,1651,1447,1.47783
8.21,4.76473,6.37996,4.57843,6.15398,0,-309.31,0,1634,1446,1.46381
8.241,4.79164,6.41438,4.60605,6.18779,0,-309,0,1587,1443,1.5126
8.271,4.81785,6.44934,4.63042,6.21793,0,-308.69,0,1587,1447,1.3909
8.3,4.8408,6.48062,4.65014,6.24256,0,-308.5,0,1588,1447,1.56062
8.321,4.85964,6.50595,4.67577,6.27489,0,-308.12,0,1591,1452,1.47783
8.35,4.88352,6.53966,4.70124,6.30746,0,-307.69,0,1617,1456,1.38248
8.381,4.907,6.57378,4.72352,6.33636,0,-307.31,0,1649,1463,1.30397
8.41,4.92752,6.60405,4.7472,6.36752,0,-307,0,1649,1473,1.30116
8.441,4.94974,6.6363,4.77083,6.39901,0,-306.62,0,1649,1483,1.34453
8.471,4.97158,6.66913,4.7929,6.42883,0,-306.25,0,1649,1487,1.30397
8.5,4.99191,6.70024,4.81781,6.46289,0,-306,0,1662,1500,1.38248
8.531,5.01563,6.73517,4.83827,6.49116,0,-305.75,0,1661,1507,1.21703
8.56,5.0349,6.7643,4.8617,6.52375,0,-305.56,0,1678,1521,1.30116
8.591,5.05742,6.79753,4.88509,6.55655,0,-305.38,0,1677,1529,1.34453
8.621,5.07996,6.83095,4.90541,6.58524,0,-305.06,0,1678,1532,1.21703
8.65,5.09874,6.86073,4.92702,6.61604,0,-305,0,1677,1533,1.21984
8.681,5.12006,6.89173,4.94856,6.64688,0,-304.88,0,1678,1534,1.30397
8.71,5.14102,6.92297,4.96575,6.67158,0,-304.81,0,1678,1533,1.44057
8.731,5.15787,6.9479,4.98864,6.70455,0,-304.75,0,1674,1532,1.3909
8.76,5.18047,6.98107,5.0058,6.72929,0,-304.69,0,1671,1531,1.44057
8.781,5.19734,7.00602,5.02864,6.76233,0,-304.62,0,1670,1531,1.3909
8.81,5.21985,7.03929,5.04573,6.78712,0,-304.56,0,1670,1532,1.44057
8.831,5.23665,7.06428,5.0685,6.8202,0,-304.44,0,1669,1531,1.3909
8.86,5.25883,7.09776,5.08553,6.84504,0,-304.44,0,1670,1531,1.44057
8.881,5.27586,7.1226,5.10538,6.87404,0,-304.38,0,1669,1530,1.21703
8.91,5.29542,7.15179,5.1238,6.90099,0,-304.31,0,1669,1530,1.56062
8.931,5.3135,7.17898,5.14643,6.93418,0,-304.25,0,1669,1531,1.3909
8.96,5.33584,7.21237,5.16337,6.95907,0,-304.19,0,1670,1533,1.44057
8.981,5.35249,7.23746,5.18732,6.99434,0,-304.19,0,1667,1533,1.47783
9.01,5.37645,7.27273,5.20423,7.01922,0,-304.12,0,1662,1535,1.44057
9.031,5.39301,7.29784,5.22669,7.05242,0,-304.06,0,1661,1537,1.3909
9.06,5.41518,7.33123,5.24351,7.0773,0,-304.06,0,1662,1537,1.44057
9.081,5.432,7.35612,5.26592,7.11051,0,-304,0,1662,1538,1.3909
9.11,5.45411,7.38952,5.28827,7.14371,0,-303.94,0,1666,1539,1.2605
9.142,5.47618,7.42292,5.31198,7.17901,0,-303.88,0,1665,1539,1.42857
9.172,5.4996,7.45842,5.33289,7.21017,0,-303.81,0,1665,1539,1.35054
9.2,5.52016,7.48981,5.35098,7.2372,0,-303.81,0,1665,1537,1.48968
9.222,5.53825,7.51684,5.37328,7.27048,0,-303.81,0,1667,1537,1.3909
9.251,5.56055,7.55011,5.38999,7.29544,0,-303.75,0,1667,1537,1.44057
9.272,5.57697,7.57527,5.41222,7.32877,0,-303.69,0,1667,1537,1.44057
9.3,5.5989,7.60879,5.42888,7.35377,0,-303.69,0,1667,1536,1.37509
9.322,5.61556,7.63379,5.4497,7.38503,0,-303.62,0,1668,1537,1.35054
9.35,5.63604,7.66528,5.47188,7.41838,0,-303.56,0,1667,1539,1.2605
9.382,5.65793,7.69883,5.49401,7.45174,0,-303.56,0,1668,1537,1.44057
9.41,5.68006,7.73219,5.5106,7.47679,0,-303.56,0,1670,1535,1.37509
9.432,5.69665,7.75724,5.53136,7.50813,0,-303.56,0,1667,1536,1.35054
9.46,5.71741,7.78858,5.54934,7.53528,0,-303.5,0,1667,1535,1.48968
9.482,5.7351,7.81592,5.57007,7.56663,0,-303.44,0,1667,1536,1.35054
9.51,5.75553,7.84746,5.588,7.59378,0,-303.5,0,1668,1539,1.48968
9.532,5.77375,7.87443,5.60866,7.62506,0,-303.44,0,1667,1543,1.35054
9.56,5.79412,7.9059,5.63206,7.6605,0,-303.44,0,1666,1540,1.33928
9.592,5.81752,7.94134,5.65272,7.69184,0,-303.38,0,1668,1539,1.2605
9.622,5.83789,7.97287,5.67333,7.72317,0,-303.31,0,1668,1543,1.35054
9.65,5.85815,8.00443,5.69803,7.76072,0,-303.44,0,1668,1545,1.41806
9.682,5.88349,8.04156,5.72002,7.79403,0,-303.44,0,1668,1545,1.44057
9.71,5.90548,8.07487,5.74474,7.83148,0,-303.38,0,1668,1547,1.41806
9.742,5.9299,8.11251,5.76668,7.86477,0,-303.44,0,1667,1547,1.34453
9.772,5.95214,8.14561,5.78864,7.89806,0,-303.38,0,1668,1547,1.44057
9.8,5.9738,8.17909,5.81057,7.93136,0,-303.38,0,1667,1548,1.2605
9.832,5.99573,8.21239,5.83249,7.96466,0,-303.38,0,1667,1547,1.44057
9.86,6.01766,8.24569,5.85442,7.99798,0,-303.31,0,1667,1545,1.2605
9.892,6.03924,8.27924,5.87909,8.03548,0,-303.38,0,1668,1543,1.5126
9.922,6.06426,8.31651,5.89969,8.06675,0,-303.38,0,1668,1539,1.35054
9.95,6.08486,8.34779,5.91758,8.09391,0,-303.31,0,1667,1539,1.48968
9.972,6.1024,8.37517,5.93818,8.12528,0,-303.38,0,1668,1537,1.35054
10,6.12335,8.40631,5.95471,8.15037,0,-303.38,0,1668,1537,1.37509
10.022,6.13987,8.4314,5.97537,8.18172,0,-303.38,0,1667,1541,1.35054
10.05,6.16054,8.46275,5.99736,8.21508,0,-303.44,0,1667,1545,1.2605
10.082,6.18282,8.49592,6.01932,8.24836,0,-303.44,0,1667,1551,1.44057
10.11,6.20478,8.5292,6.044,8.28574,0,-303.5,0,1667,1554,1.41806
10.142,6.22975,8.56639,6.06593,8.31888,0,-303.56,0,1668,1555,1.34453
10.172,6.25198,8.59933,6.08788,8.35198,0,-303.56,0,1668,1557,1.44057
10.2,6.27393,8.63243,6.11254,8.38919,0,-303.62,0,1667,1559,1.41806
10.232,6.29889,8.66945,6.13313,8.42014,0,-303.69,0,1668,1558,1.35054
10.26,6.31981,8.70017,6.15653,8.45524,0,-303.75,0,1668,1555,1.33928
10.292,6.3435,8.73507,6.17722,8.48621,0,-303.81,0,1667,1555,1.2605
10.322,6.36449,8.76584,6.19935,8.5192,0,-304,0,1667,1555,1.44057
10.35,6.38755,8.79821,6.22297,8.55418,0,-304.12,0,1668,1555,1.33928
10.382,6.41175,8.8328,6.24528,8.58705,0,-304.31,0,1667,1555,1.44057
10.41,6.43499,8.86504,6.27049,8.62398,0,-304.38,0,1667,1553,1.41806
10.442,6.46053,8.90173,6.29297,8.65677,0,-304.56,0,1667,1553,1.34453
10.472,6.48389,8.93393,6.31554,8.68953,0,-304.62,0,1667,1551,1.44057
10.5,6.50674,8.96649,6.3382,8.72232,0,-304.75,0,1667,1541,1.2605
10.532,6.53004,8.99884,6.35819,8.75109,0,-304.81,0,1668,1537,1.2605
10.56,6.55031,9.02741,6.37535,8.77575,0,-304.94,0,1667,1538,1.37509
10.582,6.56809,9.05164,6.39542,8.80447,0,-305.06,0,1668,1537,1.2605
10.61,6.58875,9.07996,6.41268,8.82908,0,-305.19,0,1668,1531,1.37509
10.632,6.60663,9.10412,6.4358,8.86192,0,-305.31,0,1667,1531,1.44057
10.66,6.63033,9.13656,6.45322,8.88649,0,-305.31,0,1668,1531,1.37509
10.682,6.64775,9.16113,6.47645,8.91926,0,-305.44,0,1667,1531,1.44057
10.71,6.6716,9.19345,6.50117,8.954,0,-305.44,0,1667,1535,1.33928
10.742,6.69632,9.22819,6.52299,8.98461,0,-305.56,0,1667,1536,1.2605
10.772,6.71871,9.25839,6.54338,9.01314,0,-305.56,0,1667,1535,1.2605
10.8,6.73911,9.28693,6.56087,9.03761,0,-305.62,0,1667,1535,1.37509
10.822,6.75688,9.31119,6.58422,9.0702,0,-305.69,0,1668,1533,1.44057
10.85,6.78056,9.34354,6.60911,9.10481,0,-305.81,0,1668,1532,1.33928
10.882,6.80602,9.37774,6.63115,9.13536,0,-305.88,0,1667,1525,1.35054
10.91,6.82839,9.40805,6.64885,9.15984,0,-305.88,0,1668,1521,1.37509
10.932,6.8461,9.43253,6.67249,9.19251,0,-305.94,0,1667,1517,1.44057
10.96,6.87002,9.46499,6.69022,9.21694,0,-306,0,1667,1517,1.37509
10.982,6.88804,9.48922,6.71093,9.24544,0,-306.06,0,1668,1517,1.2605
11.01,6.90903,9.51751,6.73463,9.27799,0,-306.06,0,1668,1520,1.2605
11.042,6.93274,9.55006,6.75838,9.31056,0,-306.12,0,1668,1519,1.34453
11.072,6.95677,9.58241,6.78065,9.34107,0,-306.19,0,1668,1519,1.35054
11.1,6.97937,9.61269,6.79851,9.36545,0,-306.25,0,1668,1518,1.37509
11.122,6.99752,9.63686,6.82087,9.39591,0,-306.38,0,1668,1525,1.35054
11.15,7.02049,9.66686,6.83879,9.42022,0,-306.31,0,1666,1527,1.37509
11.172,7.03808,9.69142,6.86262,9.45261,0,-306.44,0,1665,1529,1.44057
11.2,7.06252,9.72335,6.88648,9.48493,0,-306.5,0,1666,1531,1.2605
11.232,7.08667,9.75546,6.90739,9.51316,0,-306.56,0,1665,1532,1.2605
11.26,7.10786,9.78349,6.92532,9.53735,0,-306.56,0,1665,1532,1.37509
11.282,7.12579,9.80768,6.94626,9.56557,0,-306.62,0,1664,1530,1.2605
